Nation,Site,ProjectTitle,ProjectSubTitle,Line,Phase,Scope,ConstrutionPhase,RevNo,Deliverable1,Deliverable2,Assign1,Assign2,Password
USA,Site1,Myanmar,M_1,Line1,Phase1,Scope1,ConPhase1,123,Deliverable1a,Deliverable2c,23,123,123
USA,Site1,Japan,M_1,Line1,Phase1,Scope1,ConPhase1,123,Deliverable1a,Deliverable2c,23,123,123
Japan,Site2,China,M_1,Line1,Phase1,Scope1,ConPhase1,123,Deliverable1a,Deliverable2c,23,123,123
Myanmar,Site1,12333,1222,Line1,Phase1,Scope1,ConPhase1,333322,Deliverable1a,Deliverable2a,333322,222,3333
Myanmar,Site1,12333,1222,Line1,Phase1,Scope1,ConPhase1,333322,Deliverable1a,Deliverable2a,333322,222,3333
Myanmar,Site1,12333,1222,Line1,Phase1,Scope1,ConPhase1,333322,Deliverable1a,Deliverable2a,333322,222,3333
Japan,Site1,12333,1222,Line1,Phase1,Scope1,ConPhase1,333322,Deliverable1a,Deliverable2a,333322,222,3333
England,Site2,1232,312312,Line5,Phase3,Scope3,ConPhase1,1232,Deliverable1c,Deliverable2b,232123,323,312331
Korea,Site1,1232,1232,Line1,Phase1,Scope1,ConPhase1,1232,Deliverable1a,Deliverable2a,2132,21312,12323
Korea,Site1,12321,23213,Line1,Phase1,Scope1,ConPhase1,1232,Deliverable1a,Deliverable2a,12321,123,2312
Myanmar,Site1,23,32,Line1,Phase1,Scope1,ConPhase1,3423,Deliverable1a,Deliverable2a,324,24234,4234
USA,Site1,234,234,Line1,Phase1,Scope1,ConPhase1,34,Deliverable1a,Deliverable2a,234,234,234
Korea,Site2,abc,abc,Line1,Phase2,Scope2,ConPhase2,abc,Deliverable1b,Deliverable2a,abc,abc,abc
Myanmar,Site1,123,213,Line1,Phase1,Scope1,ConPhase1,23,Deliverable1a,Deliverable2a,34,23,123
Myanmar,Site1,ccccccccccc,ccccccccccccccc,Line1,Phase1,Scope1,ConPhase1,cccccccccccc,Deliverable1a,Deliverable2a,cccccccccccccc,ccccccccccc,ccccccccccccccccc
Myanmar,Site1,123,123,Line1,Phase1,Scope1,ConPhase1,123,Deliverable1a,Deliverable2a,4,23,3
Myanmar,Site1,1231,12312,Line1,Phase1,Scope1,ConPhase1,1231231,Deliverable1a,Deliverable2a,312312,1,212
